,family_id,twin_A_id,twin_A_age,twin_A_sex,twin_B_id,twin_B_age,twin_B_sex
0,fam-0001,sub-0001,14.0,M,sub-0018,14.0,M
1,fam-0116,sub-0003,14.0,M,sub-0233,14.0,F
2,fam-0002,sub-0004,11.0,M,sub-0420,11.0,M
3,fam-0088,sub-0005,12.0,F,sub-0178,12.0,F
4,fam-0178,sub-0006,15.0,M,sub-0329,15.0,F
5,fam-0003,sub-0007,10.0,F,sub-0048,10.0,F
6,fam-0014,sub-0010,16.0,F,sub-0036,16.0,F
7,fam-0137,sub-0013,10.0,F,sub-0261,10.0,F
8,fam-0082,sub-0015,12.0,M,sub-0171,12.0,M
9,fam-0093,sub-0016,11.0,F,sub-0183,11.0,F
10,fam-0007,sub-0017,15.0,M,sub-0059,15.0,M
11,fam-0001,sub-0001,14.0,M,sub-0018,14.0,M
12,fam-0008,sub-0019,11.0,F,sub-0213,11.0,F
13,fam-0009,sub-0020,12.0,M,sub-0310,12.0,M
14,fam-0202,sub-0021,13.0,F,sub-0372,13.0,F
15,fam-0029,sub-0024,15.0,M,sub-0073,15.0,F
16,fam-0011,sub-0028,13.0,M,sub-0408,13.0,M
17,fam-0012,sub-0031,12.0,M,sub-0161,12.0,M
18,fam-0110,sub-0032,15.0,F,sub-0223,15.0,F
19,fam-0014,sub-0010,16.0,F,sub-0036,16.0,F
20,fam-0015,sub-0037,13.0,F,sub-0078,13.0,F
21,fam-0144,sub-0038,13.0,M,sub-0272,13.0,F
22,fam-0018,sub-0041,10.0,M,sub-0292,10.0,M
23,fam-0092,sub-0042,12.0,M,sub-0182,12.0,M
24,fam-0151,sub-0043,12.0,F,sub-0279,12.0,F
25,fam-0097,sub-0047,12.0,F,sub-0188,12.0,F
26,fam-0003,sub-0007,10.0,F,sub-0048,10.0,F
27,fam-0081,sub-0049,12.0,M,sub-0170,12.0,M
28,fam-0155,sub-0050,12.0,F,sub-0284,12.0,M
29,fam-0019,sub-0051,12.0,M,sub-0086,12.0,M
30,fam-0122,sub-0053,15.0,F,sub-0242,15.0,F
31,fam-0199,sub-0054,13.0,M,sub-0363,13.0,M
32,fam-0050,sub-0058,14.0,M,sub-0111,14.0,M
33,fam-0007,sub-0017,15.0,M,sub-0059,15.0,M
34,fam-0121,sub-0060,14.0,M,sub-0241,14.0,F
35,fam-0204,sub-0064,13.0,F,sub-0374,13.0,F
36,fam-0051,sub-0067,15.0,M,sub-0114,15.0,F
37,fam-0023,sub-0068,13.0,M,sub-0375,13.0,M
38,fam-0028,sub-0072,14.0,M,sub-0158,14.0,M
39,fam-0029,sub-0024,15.0,M,sub-0073,15.0,F
40,fam-0033,sub-0075,13.0,F,sub-0084,13.0,F
41,fam-0146,sub-0076,11.0,F,sub-0273,11.0,F
42,fam-0015,sub-0037,13.0,F,sub-0078,13.0,F
43,fam-0031,sub-0079,12.0,M,sub-0401,12.0,F
44,fam-0206,sub-0080,11.0,F,sub-0378,11.0,F
45,fam-0085,sub-0081,10.0,F,sub-0174,10.0,F
46,fam-0033,sub-0075,13.0,F,sub-0084,13.0,F
47,fam-0034,sub-0085,12.0,M,sub-0403,12.0,M
48,fam-0019,sub-0051,12.0,M,sub-0086,12.0,M
49,fam-0036,sub-0088,14.0,M,sub-0337,14.0,M
50,fam-0128,sub-0091,13.0,M,sub-0249,13.0,M
51,fam-0038,sub-0092,11.0,M,sub-0151,11.0,M
52,fam-0222,sub-0093,15.0,F,sub-0418,15.0,F
53,fam-0042,sub-0100,13.0,M,sub-0417,13.0,F
54,fam-0045,sub-0105,13.0,F,sub-0120,13.0,F
55,fam-0046,sub-0106,13.0,F,sub-0322,13.0,F
56,fam-0049,sub-0110,11.0,M,sub-0208,11.0,F
57,fam-0050,sub-0058,14.0,M,sub-0111,14.0,M
58,fam-0188,sub-0112,12.0,M,sub-0350,12.0,M
59,fam-0051,sub-0067,15.0,M,sub-0114,15.0,F
60,fam-0052,sub-0115,14.0,M,sub-0384,14.0,F
61,fam-0135,sub-0117,12.0,M,sub-0259,12.0,F
62,fam-0134,sub-0118,10.0,F,sub-0257,10.0,M
63,fam-0045,sub-0105,13.0,F,sub-0120,13.0,F
64,fam-0220,sub-0123,14.0,F,sub-0404,14.0,F
65,fam-0056,sub-0125,11.0,F,sub-0412,11.0,F
66,fam-0057,sub-0126,12.0,F,sub-0411,12.0,F
67,fam-0058,sub-0127,12.0,M,sub-0164,12.0,M
68,fam-0059,sub-0128,14.0,F,sub-0232,14.0,F
69,fam-0063,sub-0134,12.0,M,sub-0190,12.0,M
70,fam-0216,sub-0136,14.0,F,sub-0396,14.0,F
71,fam-0066,sub-0139,13.0,F,sub-0156,13.0,F
72,fam-0179,sub-0141,11.0,M,sub-0331,11.0,M
73,fam-0207,sub-0144,13.0,F,sub-0382,13.0,F
74,fam-0071,sub-0150,11.0,M,sub-0338,11.0,F
75,fam-0038,sub-0092,11.0,M,sub-0151,11.0,M
76,fam-0123,sub-0152,15.0,F,sub-0243,15.0,M
77,fam-0211,sub-0154,10.0,M,sub-0388,10.0,M
78,fam-0066,sub-0139,13.0,F,sub-0156,13.0,F
79,fam-0028,sub-0072,14.0,M,sub-0158,14.0,M
80,fam-0075,sub-0159,12.0,M,sub-0203,12.0,M
81,fam-0180,sub-0160,11.0,M,sub-0334,11.0,F
82,fam-0012,sub-0031,12.0,M,sub-0161,12.0,M
83,fam-0076,sub-0162,14.0,M,sub-0413,14.0,M
84,fam-0077,sub-0163,13.0,F,sub-0328,13.0,F
85,fam-0058,sub-0127,12.0,M,sub-0164,12.0,M
86,fam-0078,sub-0165,11.0,F,sub-0215,11.0,F
87,fam-0079,sub-0166,11.0,F,sub-0295,11.0,M
88,fam-0170,sub-0167,13.0,M,sub-0311,13.0,F
89,fam-0081,sub-0049,12.0,M,sub-0170,12.0,M
90,fam-0082,sub-0015,12.0,M,sub-0171,12.0,M
91,fam-0085,sub-0081,10.0,F,sub-0174,10.0,F
92,fam-0086,sub-0175,14.0,F,sub-0321,14.0,F
93,fam-0088,sub-0005,12.0,F,sub-0178,12.0,F
94,fam-0091,sub-0181,11.0,M,sub-0366,11.0,M
95,fam-0092,sub-0042,12.0,M,sub-0182,12.0,M
96,fam-0093,sub-0016,11.0,F,sub-0183,11.0,F
97,fam-0095,sub-0186,14.0,M,sub-0214,14.0,M
98,fam-0097,sub-0047,12.0,F,sub-0188,12.0,F
99,fam-0102,sub-0189,10.0,F,sub-0199,10.0,M
100,fam-0063,sub-0134,12.0,M,sub-0190,12.0,M
101,fam-0193,sub-0194,11.0,F,sub-0357,11.0,F
102,fam-0102,sub-0189,10.0,F,sub-0199,10.0,M
103,fam-0103,sub-0200,14.0,F,sub-0419,14.0,F
104,fam-0075,sub-0159,12.0,M,sub-0203,12.0,M
105,fam-0133,sub-0205,11.0,M,sub-0255,11.0,F
106,fam-0049,sub-0110,11.0,M,sub-0208,11.0,F
107,fam-0105,sub-0209,10.0,F,sub-0226,10.0,F
108,fam-0107,sub-0211,11.0,M,sub-0246,11.0,F
109,fam-0008,sub-0019,11.0,F,sub-0213,11.0,F
110,fam-0095,sub-0186,14.0,M,sub-0214,14.0,M
111,fam-0078,sub-0165,11.0,F,sub-0215,11.0,F
112,fam-0110,sub-0032,15.0,F,sub-0223,15.0,F
113,fam-0105,sub-0209,10.0,F,sub-0226,10.0,F
114,fam-0113,sub-0227,15.0,F,sub-0397,15.0,M
115,fam-0114,sub-0229,10.0,M,sub-0314,10.0,M
116,fam-0115,sub-0231,10.0,F,sub-0263,10.0,F
117,fam-0059,sub-0128,14.0,F,sub-0232,14.0,F
118,fam-0116,sub-0003,14.0,M,sub-0233,14.0,F
119,fam-0120,sub-0239,14.0,F,sub-0302,14.0,F
120,fam-0172,sub-0240,11.0,F,sub-0317,11.0,F
121,fam-0121,sub-0060,14.0,M,sub-0241,14.0,F
122,fam-0122,sub-0053,15.0,F,sub-0242,15.0,F
123,fam-0123,sub-0152,15.0,F,sub-0243,15.0,M
124,fam-0107,sub-0211,11.0,M,sub-0246,11.0,F
125,fam-0128,sub-0091,13.0,M,sub-0249,13.0,M
126,fam-0129,sub-0250,12.0,M,sub-0353,12.0,M
127,fam-0133,sub-0205,11.0,M,sub-0255,11.0,F
128,fam-0134,sub-0118,10.0,F,sub-0257,10.0,M
129,fam-0135,sub-0117,12.0,M,sub-0259,12.0,F
130,fam-0137,sub-0013,10.0,F,sub-0261,10.0,F
131,fam-0115,sub-0231,10.0,F,sub-0263,10.0,F
132,fam-0142,sub-0269,13.0,M,sub-0421,13.0,M
133,fam-0144,sub-0038,13.0,M,sub-0272,13.0,F
134,fam-0146,sub-0076,11.0,F,sub-0273,11.0,F
135,fam-0200,sub-0276,14.0,F,sub-0365,14.0,F
136,fam-0151,sub-0043,12.0,F,sub-0279,12.0,F
137,fam-0213,sub-0282,14.0,M,sub-0392,14.0,M
138,fam-0155,sub-0050,12.0,F,sub-0284,12.0,M
139,fam-0018,sub-0041,10.0,M,sub-0292,10.0,M
140,fam-0159,sub-0293,12.0,F,sub-0409,12.0,F
141,fam-0079,sub-0166,11.0,F,sub-0295,11.0,M
142,fam-0162,sub-0297,14.0,M,sub-0389,14.0,M
143,fam-0165,sub-0299,12.0,F,sub-0400,12.0,F
144,fam-0120,sub-0239,14.0,F,sub-0302,14.0,F
145,fam-0009,sub-0020,12.0,M,sub-0310,12.0,M
146,fam-0170,sub-0167,13.0,M,sub-0311,13.0,F
147,fam-0171,sub-0313,10.0,F,sub-0376,10.0,M
148,fam-0114,sub-0229,10.0,M,sub-0314,10.0,M
149,fam-0172,sub-0240,11.0,F,sub-0317,11.0,F
150,fam-0173,sub-0318,12.0,F,sub-0323,12.0,M
151,fam-0183,sub-0320,11.0,F,sub-0340,11.0,F
152,fam-0086,sub-0175,14.0,F,sub-0321,14.0,F
153,fam-0046,sub-0106,13.0,F,sub-0322,13.0,F
154,fam-0173,sub-0318,12.0,F,sub-0323,12.0,M
155,fam-0209,sub-0325,11.0,M,sub-0385,11.0,M
156,fam-0176,sub-0326,12.0,F,sub-0390,12.0,F
157,fam-0077,sub-0163,13.0,F,sub-0328,13.0,F
158,fam-0178,sub-0006,15.0,M,sub-0329,15.0,F
159,fam-0179,sub-0141,11.0,M,sub-0331,11.0,M
160,fam-0180,sub-0160,11.0,M,sub-0334,11.0,F
161,fam-0036,sub-0088,14.0,M,sub-0337,14.0,M
162,fam-0071,sub-0150,11.0,M,sub-0338,11.0,F
163,fam-0183,sub-0320,11.0,F,sub-0340,11.0,F
164,fam-0188,sub-0112,12.0,M,sub-0350,12.0,M
165,fam-0129,sub-0250,12.0,M,sub-0353,12.0,M
166,fam-0193,sub-0194,11.0,F,sub-0357,11.0,F
167,fam-0194,sub-0358,13.0,F,sub-0369,13.0,F
168,fam-0199,sub-0054,13.0,M,sub-0363,13.0,M
169,fam-0200,sub-0276,14.0,F,sub-0365,14.0,F
170,fam-0091,sub-0181,11.0,M,sub-0366,11.0,M
171,fam-0194,sub-0358,13.0,F,sub-0369,13.0,F
172,fam-0202,sub-0021,13.0,F,sub-0372,13.0,F
173,fam-0204,sub-0064,13.0,F,sub-0374,13.0,F
174,fam-0023,sub-0068,13.0,M,sub-0375,13.0,M
175,fam-0171,sub-0313,10.0,F,sub-0376,10.0,M
176,fam-0206,sub-0080,11.0,F,sub-0378,11.0,F
177,fam-0207,sub-0144,13.0,F,sub-0382,13.0,F
178,fam-0052,sub-0115,14.0,M,sub-0384,14.0,F
179,fam-0209,sub-0325,11.0,M,sub-0385,11.0,M
180,fam-0211,sub-0154,10.0,M,sub-0388,10.0,M
181,fam-0162,sub-0297,14.0,M,sub-0389,14.0,M
182,fam-0176,sub-0326,12.0,F,sub-0390,12.0,F
183,fam-0213,sub-0282,14.0,M,sub-0392,14.0,M
184,fam-0216,sub-0136,14.0,F,sub-0396,14.0,F
185,fam-0113,sub-0227,15.0,F,sub-0397,15.0,M
186,fam-0165,sub-0299,12.0,F,sub-0400,12.0,F
187,fam-0031,sub-0079,12.0,M,sub-0401,12.0,F
188,fam-0034,sub-0085,12.0,M,sub-0403,12.0,M
189,fam-0220,sub-0123,14.0,F,sub-0404,14.0,F
190,fam-0011,sub-0028,13.0,M,sub-0408,13.0,M
191,fam-0159,sub-0293,12.0,F,sub-0409,12.0,F
192,fam-0057,sub-0126,12.0,F,sub-0411,12.0,F
193,fam-0056,sub-0125,11.0,F,sub-0412,11.0,F
194,fam-0076,sub-0162,14.0,M,sub-0413,14.0,M
195,fam-0042,sub-0100,13.0,M,sub-0417,13.0,F
196,fam-0222,sub-0093,15.0,F,sub-0418,15.0,F
197,fam-0103,sub-0200,14.0,F,sub-0419,14.0,F
198,fam-0002,sub-0004,11.0,M,sub-0420,11.0,M
199,fam-0142,sub-0269,13.0,M,sub-0421,13.0,M
